variable,tipo_dato,cantidad_nulos,cantidad_unicos
tipo_credito,string,0,6
capital_prestado,float64,0,7306
plazo_meses,float64,0,18
edad_cliente,float64,150,51
tipo_laboral,str,0,2
salario_cliente,float64,24,1384
total_otros_prestamos,float64,0,1538
cuota_pactada,float64,0,9836
puntaje,float64,135,202
puntaje_datacredito,float64,7,314
cant_creditosvigentes,float64,0,39
huella_consulta,float64,0,28
saldo_mora,float64,156,55
saldo_total,float64,156,8858
saldo_principal,float64,405,8647
saldo_mora_codeudor,float64,590,4
creditos_sectorFinanciero,float64,0,33
creditos_sectorCooperativo,float64,0,11
creditos_sectorReal,float64,0,24
promedio_ingresos_datacredito,float64,2930,5309
tendencia_ingresos,str,2990,3
Pago_atiempo,int64,0,2
anio_prestamo,int32,0,3
mes_prestamo,int32,0,12
dia_semana_prestamo,int32,0,7
hora_prestamo,int32,0,14
relacion_cuota_salario,float64,24,10447
relacion_deuda_salario,float64,24,2726
saldo_pendiente_estimado,float64,405,10296
dia_prestamo,int32,0,31
semana_anio_prestamo,UInt32,0,52
trimestre_prestamo,int32,0,4
es_fin_semana,int64,0,2
