variable,tipo_dato,clasificacion,valores_nulos,valores_unicos
tipo_credito,string,Categórica,0,6
fecha_prestamo,datetime64[us],Fecha,0,10444
capital_prestado,float64,Numérica,0,7306
plazo_meses,float64,Numérica,0,18
edad_cliente,float64,Numérica,150,51
tipo_laboral,string,Categórica,0,2
salario_cliente,float64,Numérica,24,1384
total_otros_prestamos,float64,Numérica,0,1538
cuota_pactada,float64,Numérica,0,9836
puntaje,float64,Numérica,135,202
puntaje_datacredito,float64,Numérica,7,314
cant_creditosvigentes,float64,Numérica,0,39
huella_consulta,float64,Numérica,0,28
saldo_mora,float64,Numérica,156,55
saldo_total,float64,Numérica,156,8858
saldo_principal,float64,Numérica,405,8647
saldo_mora_codeudor,float64,Numérica,590,4
creditos_sectorFinanciero,float64,Numérica,0,33
creditos_sectorCooperativo,float64,Numérica,0,11
creditos_sectorReal,float64,Numérica,0,24
promedio_ingresos_datacredito,float64,Numérica,2930,5309
tendencia_ingresos,string,Categórica,2990,3
Pago_atiempo,Int64,Variable objetivo,0,2
anio_prestamo,int64,Numérica,0,3
mes_prestamo,int64,Numérica,0,12
dia_semana_prestamo,int64,Numérica,0,7
hora_prestamo,int64,Numérica,0,14
relacion_cuota_salario,float64,Numérica,24,10447
relacion_deuda_salario,float64,Numérica,24,9868
saldo_pendiente_estimado,float64,Numérica,405,1658
